"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US36001","Albany County, New York","306968","*****","231246","985","38035","1112","494","147","20192","434","129","77","4085","703","12787","1159","1048","389","11739","1088"
"0500000US36003","Allegany County, New York","46688","*****","44565","82","700","89","107","37","548","50","15","18","216","77","537","103","6","10","531","101"
"0500000US36005","Bronx County, New York","1435068","*****","315533","5879","504814","4494","10116","1549","52989","1077","1385","603","494363","7059","55868","3103","23245","1881","32623","2561"
"0500000US36007","Broome County, New York","193188","*****","165108","539","10918","543","348","143","8389","365","75","41","2058","538","6292","633","535","214","5757","586"
"0500000US36009","Cattaraugus County, New York","77121","*****","70859","121","1116","171","2485","131","610","79","0","28","470","109","1581","252","144","61","1437","240"
"0500000US36011","Cayuga County, New York","77425","*****","71056","165","3303","244","106","46","441","84","5","7","604","139","1910","281","200","90","1710","279"
"0500000US36013","Chautauqua County, New York","128496","*****","118515","533","3338","278","410","118","723","109","82","44","2843","536","2585","358","242","192","2343","301"
"0500000US36015","Chemung County, New York","84895","*****","74766","261","5324","416","250","134","1135","177","12","14","610","264","2798","406","130","74","2668","404"
"0500000US36017","Chenango County, New York","47909","*****","46037","117","467","80","172","82","218","63","10","10","202","84","803","149","26","15","777","147"
"0500000US36019","Clinton County, New York","80583","*****","73237","208","3447","152","221","56","1133","117","15","16","1407","233","1123","191","112","57","1011","176"
"0500000US36021","Columbia County, New York","60371","*****","53725","286","2741","254","34","24","1084","113","0","28","1129","288","1658","290","82","79","1576","275"
"0500000US36023","Cortland County, New York","47865","*****","45302","146","928","125","107","59","364","112","7","11","236","123","921","210","20","31","901","213"
"0500000US36025","Delaware County, New York","44995","*****","42629","185","802","122","44","25","349","51","2","5","337","211","832","138","77","44","755","124"
"0500000US36027","Dutchess County, New York","293754","*****","229746","1269","30970","817","934","287","10413","322","155","78","11222","1260","10314","915","1557","356","8757","880"
"0500000US36029","Erie County, New York","919355","*****","715409","1132","123742","1360","4634","408","32793","774","289","64","20349","1141","22139","1490","3578","748","18561","1269"
"0500000US36031","Essex County, New York","37459","*****","34788","140","1194","202","93","65","103","59","7","9","506","132","768","187","165","97","603","203"
"0500000US36033","Franklin County, New York","50477","*****","41726","200","2863","162","3609","225","280","56","111","149","1057","222","831","245","103","66","728","248"
"0500000US36035","Fulton County, New York","53646","*****","50640","204","1119","188","209","123","417","80","7","14","444","185","810","260","100","87","710","237"
"0500000US36037","Genesee County, New York","57808","*****","53142","194","1214","174","490","111","455","67","0","28","971","229","1536","228","44","48","1492","225"
"0500000US36039","Greene County, New York","47424","*****","42486","258","2758","236","304","138","497","82","3","6","481","244","895","259","137","115","758","242"
"0500000US36041","Hamilton County, New York","4515","*****","4394","55","36","32","5","7","3","6","2","2","13","19","62","43","0","12","62","43"
"0500000US36043","Herkimer County, New York","62057","*****","59365","214","836","250","135","63","373","76","98","116","272","130","978","198","72","47","906","188"
"0500000US36045","Jefferson County, New York","112842","*****","97448","451","6932","386","564","163","1983","210","249","82","1325","231","4341","434","606","183","3735","390"
"0500000US36047","Kings County, New York","2589974","*****","1132426","4458","833683","3368","8604","1057","307081","1670","1232","304","225162","4823","81786","3049","16679","1433","65107","2423"
"0500000US36049","Lewis County, New York","26572","*****","25725","96","185","57","76","25","141","10","24","29","171","80","250","70","30","41","220","64"
"0500000US36051","Livingston County, New York","63591","*****","58916","231","1813","165","146","54","830","130","30","51","791","239","1065","239","145","84","920","219"
"0500000US36053","Madison County, New York","71205","*****","67360","202","1268","192","339","95","638","95","79","118","309","147","1212","203","196","112","1016","190"
"0500000US36055","Monroe County, New York","743341","*****","564617","1660","113808","1318","3040","517","27115","638","290","194","12865","1371","21606","1406","3078","596","18528","1318"
"0500000US36057","Montgomery County, New York","49302","*****","42970","442","1091","179","73","60","362","105","0","25","3419","482","1387","255","442","168","945","182"
"0500000US36059","Nassau County, New York","1356509","*****","922873","3919","158857","1867","3912","863","130971","1103","402","199","98388","4463","41106","2627","11465","1568","29641","2313"
"0500000US36061","New York County, New York","1631993","*****","922033","4828","240993","3025","6178","1211","198833","1518","888","291","188400","5287","74668","4591","19020","2399","55648","3707"
"0500000US36063","Niagara County, New York","210820","*****","183860","448","14806","553","2074","244","2337","196","62","60","1683","371","5998","731","500","207","5498","704"
"0500000US36065","Oneida County, New York","229959","*****","196219","660","13771","660","542","123","9304","223","70","34","3263","646","6790","769","1113","347","5677","687"
